name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
Mahindra Marazzo M6,2018,420000.0,50000,Diesel,Individual,Manual,First Owner,17.3 kmpl,1497 CC,121 bhp,300Nm@ 1750-2500rpm,7.0
Maruti Swift Vdi BSIII,2009,30000.0,105000,Diesel,Individual,Manual,Second Owner,17.8 kmpl,1248 CC,75 bhp,190Nm@ 2000rpm,5.0
Toyota Innova 2.5 GX (Diesel) 8 Seater,2013,148000.0,110000,Diesel,Individual,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,8.0
Mahindra XUV500 W8 2WD,2014,160000.0,60000,Diesel,Individual,Manual,Second Owner,15.1 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0
Ford Ecosport 1.0 Ecoboost Titanium Optional,2013,86000.0,49102,Petrol,Dealer,Manual,Second Owner,18.88 kmpl,999 CC,123.37 bhp,170Nm@ 1400-4500rpm,5.0
Hyundai Santro Xing GLS,2010,30000.0,60000,Petrol,Individual,Manual,Third Owner,17.92 kmpl,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5.0
Maruti Swift VDI BSIV,2010,30000.0,120000,Diesel,Individual,Manual,Second Owner,,,,,
Chevrolet Beat Diesel LT,2012,30000.0,90000,Diesel,Individual,Manual,First Owner,25.44 kmpl,936 CC,57.6 bhp,150Nm@ 1750rpm,5.0
Honda Brio Exclusive Edition,2014,67000.0,33033,Petrol,Dealer,Manual,First Owner,19.4 kmpl,1198 CC,86.8 bhp,109Nm@ 4500rpm,5.0
Hyundai Grand i10 AT Asta,2015,93000.0,63063,Petrol,Dealer,Automatic,First Owner,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5.0
Renault Duster 110PS Diesel RxL,2013,68000.0,81000,Diesel,Individual,Manual,Second Owner,19.01 kmpl,1461 CC,108.45 bhp,248Nm@ 2250rpm,5.0
Hyundai Xcent 1.2 CRDi SX,2018,190000.0,80000,Diesel,Individual,Manual,First Owner,25.4 kmpl,1186 CC,73.97 bhp,190.25nm@ 1750-2250rpm,5.0
Renault Duster 110PS Diesel RxZ,2012,32000.0,105000,Diesel,Individual,Manual,Second Owner,19.01 kmpl,1461 CC,108.45 bhp,248Nm@ 2250rpm,5.0
Mahindra Ingenio CRDe,2017,210000.0,60000,Diesel,Individual,Manual,First Owner,,,,,
Maruti Ertiga BSIV VXI,2017,208000.0,227000,Petrol,Individual,Manual,First Owner,17.5 kmpl,1373 CC,91.1 bhp,130Nm@ 4000rpm,7.0
Renault Duster 110PS Diesel RxZ,2012,36000.0,100000,Diesel,Individual,Manual,Second Owner,19.01 kmpl,1461 CC,108.45 bhp,248Nm@ 2250rpm,5.0
Maruti Eeco CNG 5 Seater AC BSIV,2019,248000.0,60000,CNG,Individual,Manual,First Owner,21.94 km/kg,1196 CC,61.7 bhp,85Nm@ 3000rpm,5.0
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,65000.0,70000,Diesel,Individual,Manual,Third Owner,21.9 kmpl,1396 CC,88.76 bhp,219.6Nm@ 1500-2750rpm,5.0
Volkswagen Vento Diesel Comfortline,2011,30000.0,120000,Diesel,Individual,Manual,Third Owner,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5.0
Maruti Alto LXi BSIII,2009,30000.0,80000,Petrol,Individual,Manual,Third Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
Tata New Safari DICOR 2.2 EX 4x2,2008,30000.0,120000,Diesel,Individual,Manual,Fourth & Above Owner,11.57 kmpl,2179 CC,138.1 bhp,320Nm@ 1700-2700rpm,7.0
Hyundai Santro Xing GLS,2014,44000.0,40000,Petrol,Individual,Manual,First Owner,17.92 kmpl,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5.0
Hyundai i10 Magna 1.2 iTech SE,2014,55000.0,53000,Petrol,Individual,Manual,First Owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5.0
Maruti Swift LDI Optional,2017,159000.0,60000,Diesel,Individual,Manual,First Owner,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Hyundai i20 1.2 Magna Executive,2017,200000.0,30000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0
Volkswagen Vento Diesel Highline,2013,63000.0,100000,Diesel,Individual,Manual,Third Owner,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5.0
Toyota Innova Crysta 2.4 VX MT BSIV,2018,552000.0,70000,Diesel,Individual,Manual,First Owner,13.68 kmpl,2393 CC,147.8 bhp,343Nm@ 1400-2800rpm,7.0
Maruti Ertiga ZDI,2012,43000.0,98000,Diesel,Individual,Manual,Fourth & Above Owner,20.77 kmpl,1248 CC,88.8 bhp,200Nm@ 1750rpm,7.0
Hyundai EON Magna Plus,2014,50000.0,60000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0
Hyundai i10 Sportz,2010,30000.0,80000,Petrol,Individual,Manual,Third Owner,20.36 kmpl,1197 CC,78.9 bhp,111.8Nm@ 4000rpm,5.0
Mahindra Ssangyong Rexton RX7,2013,144000.0,117000,Diesel,Dealer,Automatic,First Owner,11.18 kmpl,2696 CC,184 bhp,402Nm@ 1600-3000rpm,7.0
Honda Jazz 1.2 V i VTEC,2018,238000.0,8576,Petrol,Dealer,Manual,First Owner,18.7 kmpl,1199 CC,88.7 bhp,110Nm@ 4800rpm,5.0
Tata Tigor 1.2 Revotron XZA,2017,184000.0,19723,Petrol,Dealer,Automatic,First Owner,20.3 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5.0
Honda City 1.5 V MT Sunroof,2016,289000.0,21446,Petrol,Dealer,Manual,First Owner,16.8 kmpl,1497 CC,116.3 bhp,146Nm@ 4800rpm,5.0
Maruti S-Cross 2017-2020 Sigma DDiS 200 SH,2017,262000.0,52289,Diesel,Dealer,Manual,First Owner,25.1 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
Mahindra Scorpio S4 Plus,2017,332000.0,52236,Diesel,Dealer,Manual,First Owner,15.4 kmpl,2179 CC,120 bhp,280Nm@ 1800-2800rpm,7.0
Mahindra Scorpio S4 Plus 4WD,2017,332000.0,54470,Diesel,Dealer,Manual,First Owner,15.4 kmpl,2179 CC,120 bhp,280Nm@ 1800-2800rpm,7.0
Hyundai i20 1.4 CRDi Magna,2017,236000.0,25471,Diesel,Dealer,Manual,First Owner,21.9 kmpl,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5.0
Tata Tiago XT,2019,270000.0,33928,Petrol,Dealer,Manual,First Owner,23.84 kmpl,1199 CC,84.48 bhp,113Nm@ 3300rpm,5.0
Mahindra TUV 300 T4 Plus,2018,271000.0,59736,Diesel,Dealer,Manual,First Owner,18.49 kmpl,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7.0
Honda City 1.5 V MT,2009,35000.0,54290,Petrol,Dealer,Manual,First Owner,17.0 kmpl,1497 CC,118 bhp,146Nm at 4800 rpm,5.0
Honda Brio S MT,2016,166000.0,2118,Petrol,Dealer,Manual,First Owner,19.4 kmpl,1198 CC,86.8 bhp,109Nm@ 4500rpm,5.0
Mahindra Scorpio S4 7 Seater,2017,332000.0,61379,Diesel,Dealer,Manual,First Owner,15.4 kmpl,2179 CC,120 bhp,280Nm@ 1800-2800rpm,7.0
Honda City i-VTEC S,2010,35000.0,58544,Petrol,Dealer,Manual,Second Owner,17.4 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm,5.0
Maruti Wagon R VXI,2016,133000.0,74381,Petrol,Dealer,Manual,First Owner,21.79 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0
Maruti 800 DX 5 Speed,2001,30000.0,35000,Petrol,Individual,Manual,Third Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0
Ford Ecosport 1.5 DV5 MT Titanium,2017,298000.0,63982,Diesel,Dealer,Manual,First Owner,22.7 kmpl,1498 CC,89.84 bhp,204Nm@ 2000-2750rpm,5.0
Maruti Wagon R VXI,2008,30000.0,65000,Petrol,Dealer,Manual,Second Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0
Mahindra Bolero 2011-2019 SLE,2014,108000.0,74000,Diesel,Dealer,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0
Renault Duster 110PS Diesel RxZ,2013,105000.0,56429,Diesel,Dealer,Manual,Second Owner,19.01 kmpl,1461 CC,108.45 bhp,248Nm@ 2250rpm,5.0
Hyundai i10 Magna 1.2 iTech SE,2012,30000.0,56000,Petrol,Individual,Manual,First Owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5.0
Hyundai Santro Magna,2019,239000.0,19500,Petrol,Dealer,Manual,First Owner,20.3 kmpl,1086 CC,68.07 bhp,99.07Nm@ 4500rpm,5.0
Hyundai i20 Asta Option 1.2,2015,99000.0,30000,Petrol,Dealer,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0
Hyundai i20 Asta Option 1.4 CRDi,2016,201000.0,53000,Diesel,Dealer,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0
Hyundai Xcent 1.2 VTVT S,2017,210000.0,5000,Petrol,Individual,Manual,First Owner,20.14 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5.0
Hyundai Verna 1.6 VTVT S Option,2015,140000.0,25000,Petrol,Individual,Manual,First Owner,17.01 kmpl,1591 CC,121.4 bhp,154.9Nm@ 4200rpm,5.0
Honda City i DTec V,2014,106000.0,72000,Diesel,Dealer,Manual,First Owner,26.0 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0
Maruti Swift VDI BSIV W ABS,2016,188000.0,72000,Diesel,Dealer,Manual,First Owner,,,,,
Mahindra Bolero DI AC BSIII,2005,30000.0,80000,Diesel,Individual,Manual,First Owner,13.6 kmpl,2523 CC,63 bhp,180 Nm at 1440-1500rpm,7.0
Skoda Rapid 1.6 MPI Ambition Plus,2013,82000.0,29000,Petrol,Individual,Manual,Second Owner,15.0 kmpl,1598 CC,103.5 bhp,153Nm@ 3800rpm,5.0
Nissan Terrano XL D Option,2016,173000.0,56832,Diesel,Dealer,Manual,First Owner,19.87 kmpl,1461 CC,83.14 bhp,200Nm@ 1750rpm,5.0
Hyundai Elite i20 Petrol Asta,2014,94000.0,30528,Petrol,Dealer,Manual,First Owner,18.6 kmpl,1197 CC,81.86 bhp,114.73nm@ 4000rpm,5.0
Honda Amaze S Diesel,2013,70000.0,65285,Diesel,Dealer,Manual,First Owner,24.7 kmpl,1498 CC,98.63 bhp,200Nm@ 1750rpm,5.0
Toyota Innova Crysta 2.4 G MT 8 STR,2020,858000.0,20102,Diesel,Dealer,Manual,First Owner,13.68 kmpl,2393 CC,147.51 bhp,343Nm@ 1400-2800rpm,8.0
Honda Jazz 1.2 S i VTEC,2015,96000.0,43000,Petrol,Dealer,Manual,First Owner,18.7 kmpl,1199 CC,88.7 bhp,110Nm@ 4800rpm,5.0
Toyota Etios Liva 1.4 GD,2013,54000.0,52380,Diesel,Dealer,Manual,First Owner,23.59 kmpl,1364 CC,67.04 bhp,170Nm@ 1800-2400rpm,5.0
Mahindra Bolero B2,2018,219000.0,74250,Diesel,Dealer,Manual,First Owner,21.0 kmpl,1498 CC,74.96 bhp,210nm@ 1600-2200rpm,7.0
Maruti Ignis 1.2 AMT Alpha BSIV,2017,172000.0,57247,Petrol,Dealer,Automatic,First Owner,20.89 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
Maruti Vitara Brezza ZDi Plus,2017,280000.0,52000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
Nissan Sunny XV,2011,35000.0,47000,Petrol,Individual,Manual,Second Owner,16.95 kmpl,1498 CC,97.7 bhp,134Nm@ 4000rpm,5.0
Ford Fiesta EXi 1.4 TDCi Ltd,2011,30000.0,80000,Diesel,Individual,Manual,Third Owner,17.8 kmpl,1399 CC,68 bhp,"16.3@ 2,000(kgm@ rpm)",5.0
Tata Indica Vista Aqua 1.3 Quadrajet,2011,30000.0,85000,Diesel,Individual,Manual,Second Owner,18.0 kmpl,1248 CC,75 bhp,190 Nm at 1750  rpm ,5.0
Maruti Swift Dzire VDi,2012,38000.0,100000,Diesel,Individual,Manual,First Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0
Nissan Sunny XV,2011,30000.0,110000,Petrol,Individual,Manual,First Owner,16.95 kmpl,1498 CC,97.7 bhp,134Nm@ 4000rpm,5.0
Fiat Linea Emotion (Diesel),2010,30000.0,178000,Diesel,Individual,Manual,Second Owner,20.4 kmpl,1248 CC,91.7 bhp,209Nm@ 2000rpm,5.0
Maruti Alto LX,2010,30000.0,120000,Petrol,Individual,Manual,Third Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
Jeep Compass 2.0 Limited 4X4,2017,682000.0,70000,Diesel,Individual,Manual,First Owner,16.3 kmpl,1956 CC,170 bhp,350Nm@ 1750-2500rpm,5.0
Audi Q5 2.0 TDI,2011,117000.0,120000,Diesel,Individual,Automatic,First Owner,12.8 kmpl,1968 CC,167.6 bhp,350Nm@ 1750-2500rpm,5.0
Toyota Innova 2.5 G4 Diesel 8-seater,2010,67000.0,155000,Diesel,Individual,Manual,Third Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8.0
Maruti Wagon R VXI BS IV,2015,67000.0,30000,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0
Maruti Wagon R LXI Minor,2009,30000.0,60000,Petrol,Individual,Manual,Third Owner,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5.0
Volkswagen Polo Diesel Comfortline 1.2L,2012,30000.0,70000,Diesel,Individual,Manual,Fourth & Above Owner,22.07 kmpl,1199 CC,73.9 bhp,180Nm@ 2000rpm,5.0
Hyundai i20 2015-2017 Asta 1.4 CRDi,2017,256000.0,40000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0
Hyundai Verna 1.6 SX,2012,36000.0,120000,Diesel,Individual,Manual,First Owner,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5.0
Maruti Swift Dzire VDI,2015,90000.0,120000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Hyundai EON Era Plus,2014,44000.0,50000,Petrol,Individual,Manual,Third Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0
Ford Figo Diesel Celebration Edition,2013,46000.0,100000,Diesel,Individual,Manual,First Owner,20.0 kmpl,1399 CC,68.1 bhp,160Nm@ 2000rpm,5.0
Hyundai i20 1.4 CRDi Asta,2010,30000.0,120000,Diesel,Individual,Manual,Third Owner,23.0 kmpl,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5.0
Maruti Swift VDI,2012,38000.0,90000,Diesel,Individual,Manual,Second Owner,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Maruti Zen Estilo VXI BSIV,2012,30000.0,90000,Petrol,Individual,Manual,First Owner,19.0 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0
Mahindra Xylo D4 BSIII,2013,67000.0,100000,Diesel,Individual,Manual,Second Owner,14.0 kmpl,2498 CC,112 bhp,260 Nm at 1800-2200 rpm,8.0
Tata Nano XTA,2015,50000.0,20000,Petrol,Individual,Automatic,First Owner,21.9 kmpl,624 CC,37.48 bhp,51Nm@ 4000rpm,4.0
Hyundai Verna CRDi SX ABS,2009,30000.0,90000,Diesel,Individual,Manual,Second Owner,18.1 kmpl,1493 CC,110 bhp,"24@ 1,900-2,750(kgm@ rpm)",5.0
Toyota Etios VX,2011,30000.0,120000,Petrol,Individual,Manual,Third Owner,17.6 kmpl,1496 CC,88.7 bhp,132Nm@ 3000rpm,5.0
Ford Figo Aspire 1.5 TDCi Trend,2017,245000.0,35000,Diesel,Individual,Manual,First Owner,25.83 kmpl,1498 CC,99 bhp,215Nm@ 1750-3000rpm,5.0
Hyundai Sonata CRDi M/T,2010,45000.0,120000,Diesel,Individual,Manual,Second Owner,11.8 kmpl,1991 CC,150 bhp,32.1kgm@ 2000rpm,5.0
Maruti 800 AC BSIII,2002,30000.0,120000,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0
Hyundai Elite i20 Asta Option Diesel,2019,468000.0,10000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.76 bhp,224nm@ 1500-2750rpm,5.0
Mahindra Jeep CL 500 MDI,1994,30000.0,100000,Diesel,Individual,Manual,Second Owner,,,,,
Honda WR-V i-DTEC VX,2017,270000.0,65000,Diesel,Individual,Manual,Second Owner,25.5 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0
Honda Civic 1.8 S MT,2007,30000.0,90000,Petrol,Individual,Manual,Third Owner,13.5 kmpl,1799 CC,130 bhp,172Nm@ 4300rpm,5.0
Maruti Alto K10 2010-2014 VXI,2012,30000.0,90000,Petrol,Individual,Manual,First Owner,20.92 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0
Hyundai i20 Active SX Diesel,2016,228000.0,42323,Diesel,Dealer,Manual,First Owner,21.19 kmpl,1396 CC,88.76 bhp,219.66nm@ 1500-2750rpm,5.0
Honda City V MT,2013,96000.0,42462,Petrol,Dealer,Manual,First Owner,16.8 kmpl,1497 CC,116.3 bhp,146Nm@ 4800rpm,5.0
Maruti Swift VDI BSIV,2015,94000.0,54723,Diesel,Dealer,Manual,First Owner,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Honda Jazz 1.5 V i DTEC,2016,175000.0,30000,Diesel,Individual,Manual,First Owner,27.3 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0
BMW X1 sDrive20d M Sport,2011,108000.0,42545,Diesel,Dealer,Automatic,First Owner,19.62 kmpl,1998 CC,190 bhp,400nm@ 1750-2500rpm,5.0
Maruti S-Cross 2017-2020 Delta DDiS 200 SH,2016,241000.0,32000,Diesel,Dealer,Manual,First Owner,25.1 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
Maruti Swift Dzire VDI Optional,2017,206000.0,41232,Diesel,Dealer,Manual,First Owner,,,0,,
Maruti Swift Dzire VDI Optional,2017,206000.0,41232,Diesel,Dealer,Manual,First Owner,,,0,,
Maruti Ignis 1.2 Delta BSIV,2018,168000.0,20375,Petrol,Dealer,Manual,First Owner,20.89 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
Maruti Swift ZDI Plus,2013,90000.0,43978,Diesel,Dealer,Manual,Second Owner,28.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Maruti Vitara Brezza VDi Option,2018,270000.0,50000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
Mahindra Bolero B4,2015,89000.0,40200,Diesel,Dealer,Manual,First Owner,21.0 kmpl,1498 CC,74.96 bhp,210nm@ 1600-2200rpm,7.0
Hyundai i20 1.2 Asta Option,2018,245000.0,30000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0
Maruti Ertiga ZDI,2014,106000.0,90000,Diesel,Individual,Manual,First Owner,20.77 kmpl,1248 CC,88.8 bhp,200Nm@ 1750rpm,7.0
Ford Ecosport Sports Diesel,2013,95000.0,48000,Diesel,Dealer,Manual,Second Owner,21.7 kmpl,1498 CC,98.96 bhp,215Nm@ 1750-2500rpm,5.0
Honda Amaze E Diesel BSIV,2014,93000.0,27233,Diesel,Dealer,Manual,First Owner,27.4 kmpl,1498 CC,98.63 bhp,200Nm@ 1750rpm,5.0
Maruti Swift Dzire Tour LDI,2017,182000.0,28832,Diesel,Dealer,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Tata Manza Aura Safire,2011,30000.0,35000,Petrol,Individual,Manual,First Owner,15.0 kmpl,1368 CC,90 bhp,116Nm@ 4750rpm,5.0
Maruti Ertiga ZXI,2015,140000.0,35000,Petrol,Individual,Manual,First Owner,16.02 kmpl,1373 CC,93.7 bhp,130Nm@ 4000rpm,7.0
Maruti Vitara Brezza VDi,2017,273000.0,40000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
Honda City 2017-2020 GXi,2006,30000.0,80000,Petrol,Individual,Manual,Second Owner,17.7 kmpl,1497 CC,78 bhp,"12.7@ 2,700(kgm@ rpm)",5.0
Mahindra Quanto C4,2016,141000.0,30000,Diesel,Individual,Manual,Second Owner,17.21 kmpl,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7.0
Hyundai i10 Era,2009,30000.0,50000,Petrol,Individual,Manual,Second Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0
Maruti Swift Dzire VDI,2016,184000.0,40000,Diesel,Individual,Manual,Second Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Maruti Ertiga VXI,2014,112000.0,25000,Petrol,Individual,Manual,First Owner,16.02 kmpl,1373 CC,93.7 bhp,130Nm@ 4000rpm,7.0
Mahindra XUV500 W7,2020,411000.0,120000,Diesel,Individual,Manual,First Owner,15.1 kmpl,2179 CC,152.87 bhp,360Nm@ 1750-2800rpm,7.0
Maruti Ritz VDi,2011,30000.0,60000,Diesel,Individual,Manual,Second Owner,21.1 kmpl,1248 CC,73.9 bhp,113Nm@ 4500rpm,5.0
Mahindra Bolero 2011-2019 DI - AC BS III,2014,81000.0,110000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,63 bhp,180Nm@ 1440-1500rpm,9.0
Mahindra Scorpio 1.99 S4,2016,261000.0,67000,Diesel,Individual,Manual,First Owner,15.4 kmpl,1997 CC,120 bhp,280Nm@ 1800-2800rpm,7.0
Ford Figo Diesel Titanium,2010,30000.0,50000,Diesel,Individual,Manual,Second Owner,20.0 kmpl,1399 CC,68 bhp,160Nm@ 2000rpm,5.0
Maruti Zen Estilo 1.1 VXI BSIII,2008,30000.0,40000,Petrol,Individual,Manual,First Owner,18.2 kmpl,1061 CC,64 bhp,84Nm@ 3500rpm,5.0
Tata New Safari DICOR 2.2 EX 4x2,2008,30000.0,120000,Diesel,Individual,Manual,Second Owner,11.57 kmpl,2179 CC,138.1 bhp,320Nm@ 1700-2700rpm,7.0
Maruti 800 DX,1999,30000.0,100000,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0
Mahindra Scorpio 2.6 CRDe,2003,30000.0,98000,Diesel,Individual,Manual,First Owner,10.5 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8.0
Mahindra Bolero DI DX 7 Seater,2009,30000.0,150000,Diesel,Individual,Manual,Second Owner,13.6 kmpl,2523 CC,63 bhp,180 Nm at 1440-1500rpm,7.0
Chevrolet Sail LT ABS,2014,52000.0,38000,Diesel,Individual,Manual,First Owner,22.1 kmpl,1248 CC,74 bhp,190Nm@ 1750rpm,5.0
Toyota Etios GD,2015,86000.0,120000,Diesel,Individual,Manual,First Owner,23.59 kmpl,1364 CC,67.05 bhp,170Nm@ 1800-2400rpm,5.0
Ford Figo Diesel Titanium,2011,30000.0,103000,Diesel,Individual,Manual,Third Owner,20.0 kmpl,1399 CC,68 bhp,160Nm@ 2000rpm,5.0
Maruti 800 AC,1994,30000.0,60000,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0
Maruti Vitara Brezza VDi Option,2017,258000.0,80000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
Maruti Ertiga VDI,2015,140000.0,50000,Diesel,Individual,Manual,First Owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7.0
Maruti Swift VDI BSIV,2014,101000.0,90000,Diesel,Individual,Manual,First Owner,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Tata Nexon 1.5 Revotorq XZ Plus,2017,304000.0,70000,Diesel,Individual,Manual,First Owner,21.5 kmpl,1497 CC,108.5 bhp,260Nm@ 1500-2750rpm,5.0
Hyundai Elantra CRDi,2006,30000.0,110000,Diesel,Individual,Manual,Fourth & Above Owner,14.9 kmpl,1991 CC,112.2 bhp,"25@ 1,800-2,800(kgm@ rpm)",5.0
Tata Tiago 1.2 Revotron XZA,2019,302000.0,30000,Petrol,Individual,Automatic,First Owner,23.84 kmpl,1199 CC,83.83 bhp,114Nm@ 3500rpm,5.0
Maruti Swift Dzire VDI,2016,199000.0,80000,Diesel,Individual,Manual,Second Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Maruti Swift Dzire VDi,2012,39000.0,110000,Diesel,Individual,Manual,Second Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0
Tata Manza Aura (ABS) Quadrajet,2010,30000.0,120000,Diesel,Individual,Manual,First Owner,18.8 kmpl,1248 CC,90 bhp,200Nm@ 1750-3000rpm,5.0
Maruti Zen VXi - BS III,2003,30000.0,120000,Petrol,Individual,Manual,Third Owner,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5.0
Hyundai i20 Asta 1.2,2014,113000.0,70000,Petrol,Individual,Manual,Second Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0
Hyundai Elite i20 Asta Option Diesel,2018,298000.0,60000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.76 bhp,224nm@ 1500-2750rpm,5.0
Maruti Alto LXi BSIII,2006,30000.0,90000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
Fiat Linea Classic Plus 1.3 Multijet,2014,59000.0,142500,Diesel,Individual,Manual,First Owner,19.5 kmpl,1248 CC,75 bhp,197Nm@ 1750rpm,5.0
Mahindra Scorpio VLX 2WD AIRBAG BSIV,2011,43000.0,90000,Diesel,Individual,Manual,Third Owner,12.05 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8.0
Hyundai i10 Sportz 1.1L,2015,62000.0,50000,Petrol,Individual,Manual,First Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0
Honda Amaze S i-Dtech,2013,48000.0,90000,Diesel,Individual,Manual,Third Owner,25.8 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0
Maruti Swift Dzire LDI,2015,76000.0,115000,Diesel,Individual,Manual,Second Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Hyundai i20 Sportz AT 1.4,2013,59000.0,150000,Petrol,Individual,Automatic,Second Owner,15.0 kmpl,1396 CC,98.6 bhp,136.3Nm@ 4200rpm,5.0
Maruti Swift VXI Optional,2015,81000.0,68000,Petrol,Individual,Manual,Second Owner,20.4 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
